formulas,bandgap
Li3Cr1P1C1O7,2.716
Li3Cr1P1C1O7,2.5573
Li1Cr1C1S1O7,2.5005
Li3Cr1Si1C1O7,3.113
Rb2Na1Cr1C6N6,1.8634
Na2Cr1P1C1O7,2.8714
Na3Cr1P1C1O7,2.4999
Na3Cr1P1C1O7,2.5348
Na1Cr1P1C1O7,0.7245
Na2Cr1C1S1O7,2.3779
Na3Cr1Si1C1O7,2.6464
Na2Cr1Si1C1O7,0.8636
Cs2Pt1C2O4F4,2.4733
Cs2K1Fe1C6N6,3.621
Cs2Fe1Ni1C6N6,1.5419
Cs2Rb1Fe1C6N6,3.6228
Cs2Zn1Fe1C6N6,4.1718
Cs2Li1Ir1C6N6,5.4079
Cs2Na1Mn1C6N6,0.0311
Cs1Ni1C3S3N3,0.5401
Cu1C2S2O6F6,0.2384
K2Fe1Cu1C6N6,0.5028
Cu1H6C1I3N1,0.5113
Li1Cu1H1C1O4,0.3752
Cu1H6C1N2O3,0.5795
Cu1H3C2N1O4,0.2782
Cu2H6C3N4O1,2.1485
Cu1H8C6N6O2,0.0005
Sr1Cu1H4C4O8,0.2561
Tl1Cu1H1C1O4,0.3827
Cu1Hg1C4S4N4,0.3338
K2Cu1P1C1O7,0.078
K3Cu1P1C1O7,0.2126
Li3Cu1P1C1O7,0.1737
Li3Cu1P1C1O7,0.1574
Li2Cu1C1S1O7,0.1281
Na3Cu1P1C1O7,0.1441
Na3Cu1P1C1O7,0.1595
Na3Cu1C1S1O7,1.2205
K2Dy1P1C1O7,4.4189
Na2Dy1P1C1O7,4.5321
K2Er1P1C1O7,4.4968
Eu1H6C1I3N1,1.4248
Li1Eu4C3I3N6,0.4206
Li1Fe1C1O3F2,2.1772
Sr2Fe1C1O3F5,2.4958
K1Gd1C1O3F2,2.7183
H1C5N3O2F8,4.8499
Sb1H6C1N3F4,4.5806
H5C1S1O5F3,6.1345
H3C1S1O4F3,6.3838
Sb1H3C2O4F6,3.1772
Hg1C1S1O3F3,3.3526
Sb1Ir1C2O2F6,2.4943
K2C1S2O6F2,5.6439
K1Sr1C1O3F1,4.0934
Li1Mn1C1O3F2,1.5588
Li1V1C1O3F2,2.0703
Mg1C2S2O2F6,2.2023
Sr2Mn1C1O3F5,1.3728
Mn1Te1C5O6F5,2.1447
C1S1N1O2F3,4.7073
C1S1N2O1F2,3.8454
C1S4N2O3F3,1.3596
C1S3N1O2F3,3.2456
C1S1N1O1F5,4.0702
Sb1C2N1O2F6,4.6214
Sn1C1S1N1F1,2.8283
Na1C1S1O3F3,5.8787
Na1Sb1C1O2F3,3.098
Na2Sn2C3O6F3,2.4736
Na1Y1C1O3F2,5.2379
Na2Y1C1O3F3,5.261
Na1Yb1C1O3F2,0.6712
Pd1C2S2O8F2,2.4461
Rb1C1S1O3F3,5.7004
Rb1C1S1O3F3,5.4737
Rb1Sb2C2O4F5,3.068
Rb1Sr1C1O3F1,4.1259
Zn1C2S2O6F6,5.5243
Sr2V1C1O3F5,2.4119
Fe1H8C4S4N6,0.5768
Fe1P1H5C1O4,3.6053
Fe1P1H5C1O8,1.1988
K2Fe1Ni1C6N6,1.5027
K1Fe1C6N3O3,4.4461
K2Fe1P1C1O7,2.128
K3Fe1P1C1O7,3.743
K1Fe1P1C1O7,0.0012
Li2Fe1P1C1O7,2.3353
Li2Fe1P1C1O7,2.2696
Li2Fe1P1C1O7,2.1051
Li2Fe1P1C1O7,2.3412
Li2Fe1P1C1O7,2.1595
Li2Fe1P1C1O7,2.4432
Li2Fe1P1C1O7,2.4693
Li2Fe1P1C1O7,2.5029
Li2Fe1P1C1O7,2.0804
Li2Fe1P1C1O7,2.4568
Li2Fe1P1C1O7,2.454
Li2Fe1P1C1O7,2.4508
Li2Fe1P1C1O7,2.4902
Li2Fe1P1C1O7,2.4491
Li3Fe1P1C1O7,4.2226
